medicine_name,authorisation_no,pharmaceutical_form_lv,active_substance,Aizliegts ārpus sacensībām,Aizliegts sacensību laikā,Aizliegto vielu un metožu saraksta klase,Piezīmes par lietošanu,"Sporta veidi, kuros aizliegts sacensību laikā","Sporta veidi, kuros aizliegts ārpus sacensībām",Notes,Prohibited In-Competition in the following sports,Prohibited Out-of-Competition in the following sports
Extraneal šķīdums peritoneālai dialīzei,01-0401,Šķīdums peritoneālai dialīzei,"Icodextrinum, Natrii chloridum, Natrii (S)- lactatis solutio, Calcii chloridum, Magnesii chloridum",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",02-0082,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 2,27% w/v/22,7 mg/ml šķīdums peritoneālai dialīzei",02-0083,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii chloridum, Natrii lactas, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Physioneal 40 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",02-0084,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Calcii chloridum, Magnesii chloridum, Natrii lactas, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
Feiba 500 V pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,02-0158,Pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,Human Plasma Fractions with Factor VIII Inhibitor Bypassing Activity,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Feiba 1000 V pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,02-0159,Pulveris un šķīdinātājs infūziju šķīduma pagatavošanai,Human Plasma Fractions with Factor VIII Inhibitor Bypassing Activity,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Duosol bez kālija šķīdums hemofiltrācijai,05-0139,Šķīdums hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 2 mmol/l kālija šķīdums hemofiltrācijai,05-0140,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 2 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0385,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 3 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0386,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic ar kāliju 4 mmol/l šķīdums hemodialīzei/hemofiltrācijai,05-0387,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Kalii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
MultiBic bez kālija šķīdums hemodialīzei/hemofiltrācijai,05-0388,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii chloridum, Natrii hydrogenocarbonas, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum monohydricum",Jā,Jā,M1,,,,,,
Duosol ar 4 mmol/l kālija šķīdums hemofiltrācijai,05-0486,Šķīdums hemofiltrācijai,"Glucosum monohydricum, Natrii chloridum, Kalii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0070,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0071,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0072,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 1,5% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0073,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 2,3% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0074,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
"Balance 4,25% glikoze, 1,75 mmol/l kalcijs, šķīdums peritoneālai dialīzei",06-0075,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactatis solutio",Jā,Jā,M1,,,,,,
Normosang 25 mg/ml koncentrāts infūziju šķīduma pagatavošanai,06-0218,Koncentrāts infūziju šķīduma pagatavošanai,Haeminum humanum,Jā,Jā,M1,,,,,,
Prismasol 2 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0310,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
Prismasol 4 mmol/l Kālija šķīdums hemodialīzei/hemofiltrācijai,09-0311,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Glucosum anhydricum, Acidum lacticum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum",Jā,Jā,M1,,,,,,
"Phoxilium 1,2 mmol/l fosfātu šķīdums hemodialīzei/hemofiltrācijai",09-0359,Šķīdums hemodialīzei/hemofiltrācijai,"Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Hemosol B0 šķīdums hemodialīzei/hemofiltrācijai,10-0446,Šķīdums hemodialīzei/hemofiltrācijai,"Natrii hydrogenocarbonas, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Acidum lacticum",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0250,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0251,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 35 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0252,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 13,6 mg/ml šķīdums peritoneālai dialīzei",14-0253,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 22,7 mg/ml šķīdums peritoneālai dialīzei",14-0254,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
"Physioneal 40 Clear-Flex Glucose 38,6 mg/ml šķīdums peritoneālai dialīzei",14-0255,Šķīdums peritoneālai dialīzei,"Glucosum anhydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii hydrogenocarbonas, Natrii (S)- lactatis solutio",Jā,Jā,M1,,,,,,
Biphozyl šķīdums hemodialīzei/hemofiltrācijai,15-0002,Šķīdums hemodialīzei/hemofiltrācijai,"Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas, Kalii chloridum, Dinatrii phosphas dihydricus",Jā,Jā,M1,,,,,,
Regiocit šķīdums hemofiltrācijai,15-0023,Šķīdums hemofiltrācijai,"Natrii citras, Natrii chloridum",Jā,Jā,M1,,,,,,
Octaplasma šķīdums infūzijām,15-0256,Šķīdums infūzijām,Proteinum plasmatis humanum,Jā,Jā,M2,,,,,,
"Bicavera 1,5% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0186,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 2,3% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0187,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
"Bicavera 4,25% glikoze, 1,25 mmol/l kalcijs, šķīdums peritoneālai dialīzei",16-0188,Šķīdums peritoneālai dialīzei,"Calcii chloridum dihydricum, Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii hydrogenocarbonas",Jā,Jā,M1,,,,,,
Civaron 136 mmol/l šķīdums infūzijām,21-0180,Šķīdums infūzijām,Natrii citras,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Dianeal PD4 Glucose 1,36% w/v/13,6 mg/ml šķīdums peritoneālai dialīzei",97-0056,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Calcii chloridum dihydricum, Natrii lactas, Natrii chloridum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 3,86% w/v/38,6 mg/ml šķīdums peritoneālai dialīzei",97-0057,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Magnesii chloridum hexahydricum, Natrii chloridum, Natrii lactas, Calcii chloridum dihydricum",Jā,Jā,M1,,,,,,
"Dianeal PD4 Glucose 2,27% w/v//22,7 mg/ml šķīdums peritoneālai dialīzei",97-0058,Šķīdums peritoneālai dialīzei,"Glucosum monohydricum, Natrii chloridum, Calcii chloridum dihydricum, Magnesii chloridum hexahydricum, Natrii lactas",Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/001,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Luminity,EU/1/06/361/002,Šķīdums dispersijām injekcijām vai infūzijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/001,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Optison,EU/1/98/065/002,Dispersija injekcijām,Perflutrenum,Jā,Jā,M1,,,,,,
Suprastin 20 mg/ml šķīdums injekcijām,00-0023,Šķīdums injekcijām,Chloropyramini hydrochloridum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Feloran 75 mg/3 ml šķīdums injekcijām,00-0090,Šķīdums injekcijām,Diclofenacum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Xefo 8 mg pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,00-0133,Pulveris un šķīdinātājs injekciju šķīduma pagatavošanai,Lornoxicamum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Nitrocine 1 mg/ml šķīdums infūzijām,00-0226,Šķīdums infūzijām,Glyceroli trinitras,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Emetron 2 mg/ml šķīdums injekcijām,00-0333,Šķīdums injekcijām,Ondansetronum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Dysport 500 V pulveris injekciju šķīduma pagatavošanai,00-0352,Pulveris injekciju šķīduma pagatavošanai,Toxinum A Clostridii botulini haemagglutininum multiplex,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Fragmin 5000 SV (anti-Xa)/0,2 ml šķīdums injekcijām pilnšļircē",00-0355,Šķīdums injekcijām pilnšļircē,Dalteparinum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Fragmin 10 000 SV (anti-Xa)/1 ml šķīdums injekcijām,00-0356,Šķīdums injekcijām,Dalteparinum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Fragmin 2500 SV (anti-Xa)/1 ml šķīdums injekcijām,00-0357,Šķīdums injekcijām,Dalteparinum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Fragmin 2500 SV (anti-Xa)/0,2 ml šķīdums injekcijām pilnšļircē",00-0358,Šķīdums injekcijām pilnšļircē,Dalteparinum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Marcaine 5 mg/ml šķīdums injekcijām,00-0359,Šķīdums injekcijām,Bupivacaini hydrochloridum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Cerebrolysin 2152 mg/10 ml šķīdums injekcijām/koncentrāts infūziju šķīduma pagatavošanai,00-0400,Šķīdums injekcijām/koncentrāts infūziju šķīduma pagatavošanai,Cerebrolysinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Cerebrolysin 1076 mg/5 ml šķīdums injekcijām/koncentrāts infūziju šķīduma pagatavošanai,00-0404,Šķīdums injekcijām/koncentrāts infūziju šķīduma pagatavošanai,Cerebrolysinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Lidocaine-Grindeks 20 mg/ml šķīdums injekcijām,00-0405,Šķīdums injekcijām,Lidocaini hydrochloridum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Gentamicin Sopharma 40 mg/ml šķīdums injekcijām/infūzijām,00-0442,Šķīdums injekcijām/infūzijām,Gentamicinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Tisercin 25 mg/ml šķīdums injekcijām,00-0444,Šķīdums injekcijām,Levomepromazinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Sodium Bicarbonate Braun 4,2% šķīdums infūzijām",00-0462,Šķīdums infūzijām,Natrii hydrogenocarbonas,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Depo-Provera 150 mg/1 ml suspensija injekcijām,00-0481,Suspensija injekcijām,Medroxyprogesteroni acetas,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Depo-Provera 150 mg/1 ml suspensija injekcijām pilnšļircē,00-0482,Suspensija injekcijām pilnšļircē,Medroxyprogesteroni acetas,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Voltaren 75 mg/3 ml šķīdums injekcijām,00-0517,Šķīdums injekcijām,Diclofenacum natricum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Sodium Chloride B. Braun 0,9 % šķīdums injekcijām",00-0569,Šķīdums injekcijām,Natrii chloridum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Sodium Bicarbonate Braun 8,4% šķīdums infūzjiām",00-0674,Šķīdums infūzijām,Natrii hydrogenocarbonas,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Sterofundin BG-5 šķīdums infūzijām,00-0802,Šķīdums infūzijām,"Natrii chloridum, Kalii chloridum, Magnesii chloridum hexahydricum, Natrii dihydrogenophosphas, Natrii lactas, Glucosum monohydricum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
"Konakion MM bērniem 2 mg/0,2 ml šķīdums iekšķīgai lietošanai vai injekcijām",00-0936,Šķīdums iekšķīgai lietošanai vai injekcijām,Phytomenadionum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Infanrix-IPV + Hib pulveris un suspensija injekciju suspensijas pagatavošanai,00-1011,Pulveris un suspensija injekciju suspensijas pagatavošanai,"Vaccinum diphtheriae, tetani, pertussis sine cellulis ex elementis praeparatum, poliomyelitidis inactivatum et haemophili stirpis b coniugatum adsorbatum",Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
Gentamicin KRKA 80 mg/2 ml šķīdums injekcijām vai infūzijām,00-1028,Šķīdums injekcijām vai infūzijām,Gentamicinum,Nē,Nē,M2,"Intravenozas infūzijas un/vai injekcijas, kas pārsniedz 100 mL/12 h, ir aizliegtas, izņemot tās, kas saņemtas slimnīcā ārstēšanās periodā, ķirurģisku procedūru laikā vai diagnozes noteikšanas nolūkos",,,"Intravenous infusions and/or injections exceeding 100 mL/12 h are prohibited, except for those legitimately received in the course of hospital treatments, surgical procedures or clinical diagnostic investigations",,
